,Bikename,Milege,Power in(PS),MinPrice,MaxPrice,Bikelinks,,
134,Ducati Hypermotard 950,NaN,114.2 PS,Rs.20.49 Lakh,Rs. 23.99 Lakh*,https://www.bikedekho.com/ducati/hypermotard-950,,
135,Ducati Streetfighter V2,NaN,155.12 PS,Rs.17.25 Lakh*,Rs.NaN,https://www.bikedekho.com/ducati/streetfighter-v2,,
136,Ducati Multistrada V2,NaN,114.5 PS,Rs.15.49 Lakh,Rs. 17.49 Lakh*,https://www.bikedekho.com/ducati/multistrada-v2,,
137,Ducati Multistrada V4,NaN,172.35 PS,Rs.20.99 Lakh,Rs. 31.48 Lakh*,https://www.bikedekho.com/ducati/multistrada-v4,,
138,Ducati SuperSport 950,NaN,110.1 PS,Rs.14.99 Lakh,Rs. 17.59 Lakh*,https://www.bikedekho.com/ducati/supersport,,
139,Ducati Multistrada 950,22.86 kmpl,114.5 PS,Rs.15.49 Lakh*,Rs.NaN,https://www.bikedekho.com/ducati/multistrada-950,,
140,Ducati XDiavel,NaN,152.2 PS,Rs.20.19 Lakh,Rs. 23.49 Lakh*,https://www.bikedekho.com/ducati/xdiavel,,
141,Ducati Scrambler Desert Sled,NaN,72.8 PS,Rs.10.89 Lakh,Rs. 10.99 Lakh*,https://www.bikedekho.com/ducati/desert-sled,,
142,Ducati Scrambler 1100,NaN,85.65 PS,Rs.11.95 Lakh,Rs. 15.29 Lakh*,https://www.bikedekho.com/ducati/scrambler-1100,,
143,Ducati Panigale V2,NaN,157.15 PS,Rs.19.49 Lakh,Rs. 22.49 Lakh*,https://www.bikedekho.com/ducati/panigale-v2,,
144,Ducati Streetfighter V4,NaN,208 PS,Rs.22.15 Lakh,Rs. 34.99 Lakh*,https://www.bikedekho.com/ducati/streetfighter-v4,,
145,Kawasaki Ninja H2,NaN,310 PS,Rs.79.90 Lakh*,Rs.NaN,https://www.bikedekho.com/kawasaki/ninja-h2,,
146,Kawasaki Ninja ZX-10R,NaN,203 PS,Rs.15.99 Lakh*,Rs.NaN,https://www.bikedekho.com/kawasaki/ninja-zx-10r,,
147,Kawasaki Ninja 300,NaN,39 PS,Rs.3.40 Lakh*,Rs.NaN,https://www.bikedekho.com/kawasaki/ninja,,
148,Kawasaki Z900,NaN,125 PS,Rs.8.93 Lakh*,Rs.NaN,https://www.bikedekho.com/kawasaki/2020-z900,,
149,Kawasaki Ninja 400,24.18 kmpl,45 PS,Rs.4.99 Lakh*,Rs.NaN,https://www.bikedekho.com/kawasaki/ninja-400,,
150,Kawasaki W175,NaN,13 PS,Rs.1.47 Lakh,Rs. 1.49 Lakh*,https://www.bikedekho.com/kawasaki/w175,,
151,Kawasaki Ninja 1000SX,NaN,142 PS,Rs.11.98 Lakh*,Rs.NaN,https://www.bikedekho.com/kawasaki/ninja-1000,,
